id,n_words,point,lo68,hi68,lo90,hi90,span68,n_periods68,P_Pre-exilic,P_Exilic,P_Persian,P_Hellenistic,top_period,top_prob,p_post_exilic
Genesis,28764,374.9678834135646,201.32644758432428,548.609319242805,104.30497688914573,645.6307899379835,Exilic;Persian;Hellenistic,3,0.08,0.04,0.48,0.4,Persian,0.48,0.92
Exodus,23748,387.62925557199367,213.98781974275335,561.270691401234,116.9663490475748,658.2921620964125,Exilic;Persian;Hellenistic,3,0.08,0.08,0.56,0.28,Persian,0.56,0.92
Leviticus,17099,326.3045119305043,152.66307610126398,499.9459477597446,55.64160540608543,596.9674184549232,Persian;Hellenistic,2,0.08,0.0,0.4,0.52,Hellenistic,0.52,0.92
Numbers,23188,375.16162756399905,201.52019173475873,548.8030633932394,104.49872103958018,645.824534088418,Exilic;Persian;Hellenistic,3,0.08,0.04,0.48,0.4,Persian,0.48,0.92
Deuteronomy,20128,230.73040654776293,57.0889707185226,404.37184237700325,-39.93249997665595,501.3933130721818,Persian;Hellenistic,2,0.0,0.04,0.16,0.8,Hellenistic,0.8,1.0
Jer_DTR,15197,404.1925738980241,230.55113806878376,577.8340097272644,133.5296673736052,674.855480422443,Exilic;Persian;Hellenistic,3,0.08,0.08,0.56,0.28,Persian,0.56,0.92
D_Code,7353,238.67549981159544,65.03406398235512,412.31693564083577,-31.98740671282343,509.3384063360143,Persian;Hellenistic,2,0.0,0.04,0.16,0.8,Hellenistic,0.8,1.0
D_Frame,11993,216.37094437579714,42.729508546556815,390.01238020503746,-54.291962148621735,487.033850900216,Persian;Hellenistic,2,0.0,0.04,0.16,0.8,Hellenistic,0.8,1.0
D_Song,782,390.1655850131925,216.5241491839522,563.8070208424328,119.50267848877365,660.8284915376114,Exilic;Persian;Hellenistic,3,0.08,0.08,0.56,0.28,Persian,0.56,0.92
Lev_Holiness,5958,344.45280596540033,170.81137013616,518.0942417946407,73.78989944098146,615.1157124898192,Persian;Hellenistic,2,0.08,0.0,0.44,0.48,Hellenistic,0.48,0.92
Lev_Priestly,10496,315.3061238094903,141.66468798025,488.94755963873064,44.643217285071444,585.9690303339091,Persian;Hellenistic,2,0.04,0.04,0.4,0.52,Hellenistic,0.52,0.96
Song_Sea,433,615.6538158982107,442.0123800689704,789.295251727451,344.99090937379185,886.3167224226296,Pre-exilic;Exilic;Persian,3,0.52,0.24,0.24,0.0,Pre-exilic,0.52,0.48
Song_Deborah,462,613.7557904095428,440.11435458030246,787.3972262387831,343.0928838851239,884.4186969339617,Pre-exilic;Exilic;Persian,3,0.52,0.24,0.24,0.0,Pre-exilic,0.52,0.48
P_source,54435,343.9303542378958,170.2889184086555,517.5717900671361,73.26744771347694,614.5932607623147,Persian;Hellenistic,2,0.08,0.0,0.44,0.48,Hellenistic,0.48,0.92
JE_source,37752,399.9332097754009,226.29177394616056,573.5746456046412,129.270303250982,670.5961162998198,Exilic;Persian;Hellenistic,3,0.08,0.08,0.56,0.28,Persian,0.56,0.92
D_source,20128,230.73040654776293,57.0889707185226,404.37184237700325,-39.93249997665595,501.3933130721818,Persian;Hellenistic,2,0.0,0.04,0.16,0.8,Hellenistic,0.8,1.0
Gen_JE,22409,384.67174030139967,211.03030447215934,558.3131761306399,114.0088337769808,655.3346468258185,Exilic;Persian;Hellenistic,3,0.08,0.04,0.52,0.36,Persian,0.52,0.92
Exo_JE,11780,423.8688435833045,250.2274077540642,597.5102794125448,153.20593705888564,694.5317501077234,Pre-exilic;Exilic;Persian;Hellenistic,4,0.12,0.08,0.56,0.24,Persian,0.56,0.88
Num_JE,3563,420.78916081752084,247.14772498828052,594.4305966467612,150.12625429310197,691.4520673419397,Pre-exilic;Exilic;Persian;Hellenistic,4,0.12,0.08,0.56,0.24,Persian,0.56,0.88
