unit,truth,pred,alpha,bw,lam,inner_rho,err
Amos,760.0,619.9000872252777,0.5,120.0,1000.0,0.6373536128103493,140.09991277472227
Hosea,745.0,554.0070652252979,0.5,120.0,1000.0,0.721811673524289,190.99293477470212
Micah,725.0,621.5340837189615,1.0,60.0,1000.0,0.6482373835209086,103.46591628103852
Isaiah_1,720.0,513.8171679384619,1.0,120.0,100.0,0.7435792149454076,206.18283206153808
Zephaniah,630.0,652.1623109510354,0.5,120.0,1000.0,0.6817593973094309,22.16231095103535
Nahum,650.0,699.2840840408423,0.5,120.0,1000.0,0.6743584332262508,49.284084040842345
Habakkuk,605.0,689.5070463376262,0.5,200.0,1000.0,0.6759525220515286,84.5070463376262
Lamentations,570.0,720.4799144376326,0.5,60.0,1000.0,0.6939492205052573,150.4799144376326
Ezekiel,580.0,487.0594756825536,0.0,60.0,1000.0,0.6626039608588468,92.94052431744637
Obadiah,585.0,601.6382438063688,0.5,120.0,1000.0,0.6752291348830955,16.63824380636879
Isaiah_2,545.0,675.1736086290185,0.5,60.0,1000.0,0.7048329912158166,130.17360862901853
Zechariah_1,518.0,430.4780003131117,0.5,60.0,1000.0,0.6521555409767099,87.52199968688831
Malachi,460.0,524.3528701997188,0.5,200.0,1000.0,0.6630393116872693,64.35287019971884
Joel,400.0,572.9145573321725,0.0,60.0,1000.0,0.6843595105327615,172.91455733217254
Jonah,400.0,359.20020412108715,0.5,120.0,1000.0,0.666521786482003,40.799795878912846
Isaiah_3,400.0,538.5751462391206,0.0,60.0,1000.0,0.6499892617520318,138.5751462391206
Ezra,380.0,168.2386908539077,0.5,60.0,1000.0,0.6581070272645919,211.7613091460923
Nehemiah,380.0,142.3988389666216,0.5,200.0,1000.0,0.6620243309983097,237.6011610333784
Zechariah_2,350.0,670.5818964857958,1.0,200.0,100.0,0.7340014967201154,320.5818964857958
Chronicles,330.0,268.2205687123212,0.5,60.0,1000.0,0.5250330990773779,61.77943128767879
Esther,300.0,120.08592212339101,0.5,60.0,1000.0,0.6234223863008336,179.91407787660899
Ecclesiastes,250.0,344.9994340503739,0.0,60.0,1000.0,0.6303879995555914,94.9994340503739
Daniel,167.0,456.41050204859266,0.5,200.0,100.0,0.6212456321587216,289.41050204859266
Jer_oracle,605.0,636.2190493103512,0.5,200.0,1000.0,0.6611538190574835,31.219049310351238
Haggai,520.0,548.3542955827656,1.0,200.0,1000.0,0.6730523807409837,28.354295582765644
