unit,true,map,nw,register,lo_0.680,hi_0.680,in_0.680,lo_0.950,hi_0.950,in_0.950
Amos,760.0,649.1983967935871,2780,SBH,575.4509018036072,720.6412825651303,False,506.31262525050096,789.7795591182364,True
Chronicles,350.0,287.37474949899797,35330,LBH,252.80561122244487,321.9438877755511,False,220.54108216432866,354.20841683366734,True
Daniel,167.0,501.7034068136272,8072,LBH,455.61122244488973,547.7955911823647,False,411.82364729458914,591.5831663326653,False
Ecclesiastes,330.0,538.5771543086172,4233,LBH,469.438877755511,610.0200400801602,False,400.3006012024048,679.1583166332665,False
Esther,350.0,363.4268537074148,4621,LBH,287.37474949899797,439.47895791583164,True,213.62725450901803,513.2264529058116,True
Ezekiel,570.0,381.8637274549098,26182,Transitional,349.59919839679355,411.82364729458914,False,319.6392785571142,441.78356713426854,False
Ezra,400.0,156.01202404809618,5268,LBH,100.70140280561122,222.84569138276552,False,61.523046092184366,285.0701402805611,False
Habakkuk,605.0,646.8937875751502,897,SBH,573.1462925851703,722.945891783567,True,499.39879759519033,796.6933867735471,True
Haggai,520.0,628.4569138276553,877,Transitional,554.7094188376753,702.2044088176352,False,483.26653306613224,773.6472945891783,True
Hosea,725.0,582.3647294589179,3146,SBH,510.92184368737475,653.8076152304609,False,441.78356713426854,722.945891783567,False
Isaiah_1,700.0,577.7555110220441,13504,SBH,536.2725450901803,621.5430861723446,False,492.48496993987976,663.0260521042084,False
Isaiah_2,550.0,686.0721442885771,5738,Transitional,616.9338677354709,752.9058116232464,False,552.4048096192384,819.7394789579158,False
Isaiah_3,460.0,520.1402805611222,3689,Transitional,446.39278557114227,593.8877755511022,True,374.94989979959917,665.3306613226453,True
Jeremiah,590.0,538.5771543086172,14539,Transitional,494.7895791583166,584.6693386773546,False,453.3066132264529,626.1523046092184,True
Jonah,400.0,563.9278557114228,985,LBH,492.48496993987976,637.6753507014027,False,423.34669338677355,706.813627254509,False
Lamentations,586.0,656.1122244488978,1945,Transitional,582.3647294589179,727.5551102204408,True,513.2264529058116,798.9979959919839,True
Malachi,460.0,589.2785571142284,1187,Transitional,515.5310621242485,663.0260521042084,False,444.0881763527054,734.4689378757514,True
Micah,720.0,706.813627254509,1895,SBH,630.7615230460922,782.8657314629259,True,557.0140280561122,856.6132264529058,True
Nahum,620.0,782.8657314629259,746,SBH,709.1182364729458,858.9178356713427,False,637.6753507014027,930.3607214428857,False
Nehemiah,420.0,377.25450901803606,7842,LBH,315.0300601202405,437.17434869739475,True,257.4148296593186,494.7895791583166,True
Zechariah_1,518.0,527.0541082164328,2484,Transitional,451.002004008016,603.1062124248497,True,377.25450901803606,676.8537074148296,True
Zephaniah,630.0,798.9979959919839,1037,SBH,727.5551102204408,872.7454909819638,False,656.1122244488978,944.188376753507,False
