unit,genre,n_words,noisy,map_ngram,ci68_lo_ng,ci68_hi_ng,ci95_lo_ng,ci95_hi_ng,map_full,map_resistant,map_BD,delta_ng_vs_ling
Genesis,narrative,28478,False,540.9,497.1,582.4,455.6,623.8,416.0,239.0,423.0,124.9
Exodus,narrative,22964,False,531.7,487.9,573.1,446.4,614.6,400.0,469.0,396.0,131.7
Leviticus,legal,16759,False,386.5,342.7,428.0,301.2,469.4,400.0,732.0,421.0,-13.5
Numbers,narrative,22812,False,379.6,335.8,423.3,294.3,464.8,333.0,363.0,290.0,46.6
Deuteronomy,legal,19812,False,411.8,368.0,455.6,326.6,497.1,292.0,714.0,336.0,119.8
D_Code,legal,7225,False,333.5,289.7,377.3,248.2,418.7,292.0,847.0,317.0,41.5
D_Frame,narrative,11810,False,444.1,400.3,485.6,358.8,527.1,274.0,596.0,317.0,170.1
D_Song,other,777,True,644.6,600.8,686.1,559.3,727.6,679.0,536.0,748.0,-34.4
Lev_Holiness,legal,5840,False,462.5,418.7,506.3,377.3,547.8,299.0,831.0,322.0,163.5
Lev_Priestly,legal,10281,False,328.9,287.4,372.6,245.9,414.1,465.0,622.0,483.0,-136.1
D_source,legal,19812,False,411.8,368.0,455.6,326.6,497.1,292.0,714.0,336.0,119.8
P_source,legal,52735,False,453.3,409.5,497.1,368.0,538.6,361.0,481.0,343.0,92.3
JE_source,narrative,40396,False,499.4,457.9,543.2,416.4,584.7,435.0,329.0,444.0,64.4
Joshua,narrative,14307,False,379.6,338.1,423.3,296.6,464.8,345.0,287.0,377.0,34.6
Judges,narrative,13444,False,508.6,464.8,552.4,423.3,593.9,490.0,251.0,492.0,18.6
1_Samuel,narrative,18664,False,494.8,451.0,536.3,409.5,577.8,458.0,174.0,481.0,36.8
2_Samuel,narrative,15447,False,510.9,467.1,552.4,425.7,593.9,449.0,147.0,465.0,61.9
1_Kings,narrative,18405,False,407.2,365.7,451.0,324.2,492.5,423.0,322.0,423.0,-15.8
2_Kings,narrative,17103,False,563.9,522.4,607.7,481.0,649.2,555.0,345.0,585.0,8.9
Jer_DTR,narrative,14955,False,510.9,467.1,554.7,425.7,596.2,412.0,502.0,442.0,98.9
Jer_oracle,other,14300,False,612.3,568.5,653.8,527.1,695.3,562.0,741.0,569.0,50.3
Song_Sea,other,421,True,527.1,483.3,568.5,441.8,610.0,852.0,460.0,829.0,-324.9
Song_Deborah,other,454,True,487.9,444.1,529.4,402.6,570.8,585.0,564.0,502.0,-97.1
