unit,map_bce,map_bce_resistant,ci68_lo,ci68_hi,ci95_lo,ci95_hi,ci95_wide,n_words
D_Code,292.0,854.0,232.0,350.0,174.0,407.0,False,7353
D_Frame,274.0,582.0,227.0,320.0,181.0,366.0,False,11993
D_Song,679.0,451.0,608.0,751.0,539.0,820.0,False,782
D_full,292.0,695.0,257.0,329.0,221.0,363.0,False,20128
Joshua,345.0,327.0,304.0,386.0,262.0,428.0,False,14526
Judges,490.0,221.0,446.0,534.0,405.0,575.0,False,13624
1_Samuel,458.0,216.0,421.0,495.0,386.0,532.0,False,18929
2_Samuel,449.0,193.0,407.0,490.0,368.0,529.0,False,15612
1_Kings,423.0,310.0,386.0,460.0,350.0,497.0,False,18685
2_Kings,555.0,308.0,516.0,594.0,479.0,631.0,False,17307
Lev_Holiness,301.0,808.0,234.0,366.0,172.0,428.0,False,5958
Lev_Priestly,465.0,601.0,414.0,513.0,366.0,562.0,False,10496
Lev_full,400.0,707.0,363.0,439.0,324.0,479.0,False,17099
