book,chapter,n_words,source_label,map_char,ci68_lo_char,ci68_hi_char,map_word,ci68_lo_word,ci68_hi_word,avg_date,archaism_index,classification
Genesis,1,662,P,540.9,497.1,582.4,195.2,126.1,268.9,368.0,-345.7,MIXED
Genesis,2,491,J,566.2,522.4,610.0,358.8,285.1,432.6,462.5,-207.4,MIXED
Genesis,3,495,J,469.4,428.0,513.2,483.3,409.5,557.0,476.4,13.8,MIXED
Genesis,4,449,J,285.1,241.3,328.9,605.4,531.7,679.2,445.2,320.3,ARCHAIZED
Genesis,5,481,P,1200.0,1177.0,1197.7,626.2,552.4,699.9,913.1,-573.8,MIXED
Genesis,6,429,JE+P,886.6,845.1,930.4,646.9,573.1,720.6,766.7,-239.7,MIXED
Genesis,7,497,JE+P,905.0,861.2,946.5,538.6,464.8,612.3,721.8,-366.4,MIXED
Genesis,8,479,JE+P,833.6,789.8,877.4,494.8,421.0,568.5,664.2,-338.8,MIXED
Genesis,9,495,JE+P,755.2,711.4,799.0,464.8,393.4,538.6,610.0,-290.4,MIXED
Genesis,10,425,JE+P,490.2,448.7,534.0,139.9,89.2,218.2,315.0,-350.3,MIXED
Genesis,11,516,JE+P,868.1,824.3,911.9,538.6,464.8,612.3,703.4,-329.6,MIXED
Genesis,12,378,J,693.0,649.2,734.5,471.7,398.0,543.2,582.4,-221.2,MIXED
Genesis,13,339,J,570.8,527.1,614.6,303.5,229.8,377.3,437.2,-267.3,MIXED
Genesis,14,458,?,713.7,669.9,757.5,354.2,280.5,428.0,534.0,-359.5,MIXED
Genesis,15,359,JE,596.2,552.4,640.0,268.9,195.2,342.7,432.6,-327.3,MIXED
Genesis,16,289,JE+P,635.4,591.6,676.9,637.7,563.9,711.4,636.5,2.3,MIXED
Genesis,17,475,P,296.6,252.8,338.1,508.6,434.9,582.4,402.6,212.0,MIXED
Genesis,18,613,J,674.5,630.8,718.3,508.6,434.9,582.4,591.6,-165.9,MIXED
Genesis,19,807,J,587.0,545.5,630.8,517.8,444.1,591.6,552.4,-69.1,MIXED
Genesis,20,373,E,448.7,407.2,492.5,637.7,563.9,711.4,543.2,189.0,MIXED
Genesis,21,593,JE+P,646.9,605.4,690.7,591.6,520.1,665.3,619.2,-55.3,MIXED
Genesis,22,509,E,591.6,547.8,635.4,524.7,451.0,598.5,558.2,-66.8,MIXED
Genesis,23,370,P,146.8,107.6,190.6,446.4,372.6,520.1,296.6,299.6,MIXED
Genesis,24,1306,J,160.6,116.8,202.1,550.1,476.4,623.8,355.4,389.5,ARCHAIZED
Genesis,25,550,JE+P,706.8,663.0,748.3,499.4,425.7,573.1,603.1,-207.4,MIXED
Genesis,26,646,J,646.9,603.1,688.4,444.1,372.6,517.8,545.5,-202.8,MIXED
Genesis,27,863,J,610.0,568.5,653.8,416.4,345.0,490.2,513.2,-193.6,MIXED
Genesis,28,444,JE+P,621.5,580.1,665.3,441.8,368.0,513.2,531.7,-179.8,MIXED
Genesis,29,641,JE,349.6,305.8,391.1,573.1,501.7,646.9,461.4,223.5,MIXED
Genesis,30,775,JE,386.5,342.7,430.3,478.7,404.9,552.4,432.6,92.2,MIXED
Genesis,31,1044,JE,529.4,487.9,573.1,529.4,455.6,603.1,529.4,0.0,MIXED
Genesis,32,638,JE,264.3,220.5,305.8,628.5,554.7,702.2,446.4,364.1,ARCHAIZED
Genesis,33,374,JE,342.7,298.9,384.2,324.2,252.8,398.0,333.5,-18.4,EDITORIAL
Genesis,34,586,JE+P,280.5,239.0,324.2,421.0,347.3,492.5,350.8,140.6,EDITORIAL
Genesis,35,499,JE+P,732.2,690.7,776.0,483.3,409.5,557.0,607.7,-248.9,MIXED
Genesis,36,612,P,1200.0,1163.1,1197.7,598.5,524.7,672.2,899.2,-601.5,MIXED
Genesis,37,674,JE+P,255.1,213.6,298.9,457.9,384.2,531.7,356.5,202.8,MIXED
Genesis,38,568,J,319.6,275.9,363.4,444.1,372.6,517.8,381.9,124.4,MIXED
Genesis,39,491,J,545.5,504.0,589.3,464.8,391.1,538.6,505.2,-80.7,MIXED
Genesis,40,432,JE,563.9,520.1,605.4,580.1,506.3,651.5,572.0,16.1,MIXED
Genesis,41,1068,JE,799.0,755.2,840.5,414.1,340.4,485.6,606.6,-384.9,MIXED
